"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-28 21:00:00","Andalucía",12004,91,0.8,18.75
"2020-04-28 21:00:00","Aragón",5042,38,0.8,53.36
"2020-04-28 21:00:00","Asturias",2266,11,0.5,25.32
"2020-04-28 21:00:00","Baleares",1879,9,0.5,23.75
"2020-04-28 21:00:00","Canarias",2202,15,0.7,10.54
"2020-04-28 21:00:00","Cantabria",2146,31,1.5,72.97
"2020-04-28 21:00:00","Castilla La Mancha",15785,79,0.5,154.56
"2020-04-28 21:00:00","Castilla y León",16690,101,0.6,165.45
"2020-04-28 21:00:00","Cataluña",48654,496,1.0,158.29
"2020-04-28 21:00:00","Ceuta",101,1,1.0,12.98
"2020-04-28 21:00:00","Comunidad Valenciana",10236,32,0.3,20.88
"2020-04-28 21:00:00","Extremadura",2764,13,0.5,28.28
"2020-04-28 21:00:00","Galicia",9466,138,1.5,65.12
"2020-04-28 21:00:00","Madrid",60765,981,1.6,168.67
"2020-04-28 21:00:00","Melilla",114,0,0.0,13.87
"2020-04-28 21:00:00","Murcia",1480,5,0.3,9.04
"2020-04-28 21:00:00","Navarra",4794,35,0.7,115.41
"2020-04-28 21:00:00","País Vasco",12619,55,0.4,97.07
"2020-04-28 21:00:00","La Rioja",3910,13,0.3,142.99
