"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-19 21:00:00","Andalucía",5473,49,690,3,1012,20,3228,113
"2020-04-19 21:00:00","Aragón",2244,28,248,2,637,18,1178,3
"2020-04-19 21:00:00","Asturias",1599,28,122,2,200,4,599,3
"2020-04-19 21:00:00","Baleares",963,8,161,1,157,2,1004,12
"2020-04-19 21:00:00","Canarias",826,1,163,1,119,0,813,24
"2020-04-19 21:00:00","Cantabria",934,10,78,0,158,5,626,16
"2020-04-19 21:00:00","Castilla La Mancha",8173,36,531,13,2021,58,4178,215
"2020-04-19 21:00:00","Castilla y León",7080,99,501,3,1493,35,5366,104
"2020-04-19 21:00:00","Cataluña",22375,140,2409,14,4008,76,13934,243
"2020-04-19 21:00:00","Ceuta",9,0,4,0,4,0,74,15
"2020-04-19 21:00:00","Comunidad Valenciana",4827,46,646,3,1079,14,4629,82
"2020-04-19 21:00:00","Extremadura",1306,28,112,0,389,5,858,91
"2020-04-19 21:00:00","Galicia",2609,19,108,0,352,6,1548,12
"2020-04-19 21:00:00","Madrid",8191,0,1111,0,7351,112,31761,449
"2020-04-19 21:00:00","Melilla",44,0,3,0,2,0,46,2
"2020-04-19 21:00:00","Murcia",612,0,103,1,117,1,662,10
"2020-04-19 21:00:00","Navarra",1855,13,128,1,385,16,1123,131
"2020-04-19 21:00:00","País Vasco",6109,23,501,2,1081,19,7124,152
"2020-04-19 21:00:00","La Rioja",1281,14,79,0,285,8,1833,17
