"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-03 21:00:00","Andalucía",12194,19,0.16,14.24
"2020-05-03 21:00:00","Aragón",5188,24,0.46,40.48
"2020-05-03 21:00:00","Asturias",2306,1,0.04,12.22
"2020-05-03 21:00:00","Baleares",1908,0,0.0,13.83
"2020-05-03 21:00:00","Canarias",2225,4,0.18,7.34
"2020-05-03 21:00:00","Cantabria",2206,1,0.05,40.1
"2020-05-03 21:00:00","Castilla La Mancha",16050,33,0.21,65.18
"2020-05-03 21:00:00","Castilla y León",17334,51,0.3,106.4
"2020-05-03 21:00:00","Cataluña",50366,132,0.26,113.22
"2020-05-03 21:00:00","Ceuta",101,0,0.0,9.44
"2020-05-03 21:00:00","Comunidad Valenciana",10436,0,0.0,14.55
"2020-05-03 21:00:00","Extremadura",2848,5,0.18,14.7
"2020-05-03 21:00:00","Galicia",9011,44,0.49,55.68
"2020-05-03 21:00:00","Madrid",62395,1,0.0,69.23
"2020-05-03 21:00:00","Melilla",119,2,1.71,17.34
"2020-05-03 21:00:00","Murcia",1492,0,0.0,3.48
"2020-05-03 21:00:00","Navarra",4918,16,0.33,71.69
"2020-05-03 21:00:00","País Vasco",12952,14,0.11,52.68
"2020-05-03 21:00:00","La Rioja",3961,9,0.23,93.75
