"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-13 21:00:00","Andalucía",12359,42,0.34,4.87
"2020-05-13 21:00:00","Aragón",5388,17,0.32,22.59
"2020-05-13 21:00:00","Asturias",2356,0,0.0,4.89
"2020-05-13 21:00:00","Baleares",1958,1,0.05,6.52
"2020-05-13 21:00:00","Canarias",2275,4,0.18,3.25
"2020-05-13 21:00:00","Cantabria",2256,0,0.0,14.28
"2020-05-13 21:00:00","Castilla La Mancha",16470,17,0.1,31.38
"2020-05-13 21:00:00","Castilla y León",18173,68,0.38,53.68
"2020-05-13 21:00:00","Cataluña",55482,195,0.35,50.17
"2020-05-13 21:00:00","Ceuta",116,2,1.75,17.69
"2020-05-13 21:00:00","Comunidad Valenciana",10784,24,0.22,9.05
"2020-05-13 21:00:00","Extremadura",2923,4,0.14,12.92
"2020-05-13 21:00:00","Galicia",9317,16,0.17,22.97
"2020-05-13 21:00:00","Madrid",65693,88,0.13,38.84
"2020-05-13 21:00:00","Melilla",119,0,0.0,5.78
"2020-05-13 21:00:00","Murcia",1531,7,0.46,3.08
"2020-05-13 21:00:00","Navarra",5105,11,0.22,44.33
"2020-05-13 21:00:00","País Vasco",13219,5,0.04,23.46
"2020-05-13 21:00:00","La Rioja",4013,5,0.12,30.3
