"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-05-01 21:00:00","Andalucía",5962,26,735,6,1253,15,6821,487
"2020-05-01 21:00:00","Aragón",2503,9,260,0,761,12,2474,92
"2020-05-01 21:00:00","Asturias",1974,36,141,1,279,6,890,30
"2020-05-01 21:00:00","Baleares",1094,4,167,0,197,4,1268,23
"2020-05-01 21:00:00","Canarias",918,4,176,0,140,4,1149,0
"2020-05-01 21:00:00","Cantabria",1009,0,79,0,193,1,1551,42
"2020-05-01 21:00:00","Castilla La Mancha",8645,27,601,5,2534,36,5702,87
"2020-05-01 21:00:00","Castilla y León",8054,44,531,0,1788,18,6813,127
"2020-05-01 21:00:00","Cataluña",27049,117,2811,16,5137,76,19913,273
"2020-05-01 21:00:00","Ceuta",10,0,4,0,4,0,140,2
"2020-05-01 21:00:00","Comunidad Valenciana",5153,27,695,1,1258,13,7287,209
"2020-05-01 21:00:00","Extremadura",1591,27,108,0,458,7,2017,57
"2020-05-01 21:00:00","Galicia",2768,10,313,0,557,2,5981,165
"2020-05-01 21:00:00","Madrid",40457,164,3404,12,8292,70,37530,376
"2020-05-01 21:00:00","Melilla",44,0,3,0,2,0,96,0
"2020-05-01 21:00:00","Murcia",639,1,110,1,132,0,1251,22
"2020-05-01 21:00:00","Navarra",1979,2,132,0,460,2,2281,96
"2020-05-01 21:00:00","País Vasco",6659,52,551,7,1321,9,11805,425
"2020-05-01 21:00:00","La Rioja",1439,6,88,0,334,1,2279,59
