"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-08 21:00:00","Andalucía",9261,69.58,4599,538,652,1193,264
"2020-04-08 21:00:00","Aragón",3685,194.73,1765,261,385,718,136
"2020-04-08 21:00:00","Asturias",1736,87.6,1018,94,110,340,32
"2020-04-08 21:00:00","Baleares",1448,68.55,751,132,89,696,36
"2020-04-08 21:00:00","Canarias",1834,48.76,730,140,92,359,72
"2020-04-08 21:00:00","Cantabria",1619,163.15,720,71,98,214,47
"2020-04-08 21:00:00","Castilla La Mancha",12489,447.94,2575,342,1321,1766,701
"2020-04-08 21:00:00","Castilla y León",10517,292.97,5523,338,1082,3242,460
"2020-04-08 21:00:00","Cataluña",31043,253.43,20943,2506,3148,13062,1396
"2020-04-08 21:00:00","Ceuta",84,87.29,9,4,4,7,0
"2020-04-08 21:00:00","Comunidad Valenciana",7963,95.21,3815,541,767,1771,309
"2020-04-08 21:00:00","Extremadura",2273,122.13,958,99,283,381,89
"2020-04-08 21:00:00","Galicia",6757,179.4,2094,155,231,910,220
"2020-04-08 21:00:00","Madrid",43876,400.86,12853,1433,5800,21121,1426
"2020-04-08 21:00:00","Melilla",93,62.44,40,3,2,16,0
"2020-04-08 21:00:00","Murcia",1355,50.87,533,87,88,219,30
"2020-04-08 21:00:00","Navarra",3575,330.78,1526,124,214,462,108
"2020-04-08 21:00:00","País Vasco",9806,265.43,5130,433,689,4513,354
"2020-04-08 21:00:00","La Rioja",3026,641.1,997,69,182,1172,75
