"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-16 21:00:00","Andalucía",5297,72,675,4,940,28,2790,156
"2020-04-16 21:00:00","Aragón",2151,43,240,562,19,1132,45,0
"2020-04-16 21:00:00","Asturias",1474,42,118,2,174,6,545,23
"2020-04-16 21:00:00","Baleares",905,33,152,0,134,3,938,20
"2020-04-16 21:00:00","Canarias",811,9,159,3,111,4,730,57
"2020-04-16 21:00:00","Cantabria",903,13,78,1,144,7,510,68
"2020-04-16 21:00:00","Castilla La Mancha",8017,31,511,8,1851,56,3600,222
"2020-04-16 21:00:00","Castilla y León",6518,69,297,0,1401,29,4923,199
"2020-04-16 21:00:00","Cataluña",21241,0,2305,0,3752,134,12787,826
"2020-04-16 21:00:00","Ceuta",9,0,4,0,4,0,44,3
"2020-04-16 21:00:00","Comunidad Valenciana",4605,81,632,7,999,27,4024,322
"2020-04-16 21:00:00","Extremadura",1212,26,110,0,372,13,707,58
"2020-04-16 21:00:00","Galicia",2535,41,117,0,320,10,1456,73
"2020-04-16 21:00:00","Madrid",9141,0,1154,0,7007,130,29436,945
"2020-04-16 21:00:00","Melilla",44,0,3,0,2,0,30,3
"2020-04-16 21:00:00","Murcia",585,10,99,2,112,1,545,29
"2020-04-16 21:00:00","Navarra",1781,29,124,0,338,77,892,47
"2020-04-16 21:00:00","País Vasco",5939,76,484,6,992,36,6144,331
"2020-04-16 21:00:00","La Rioja",1226,19,76,1,262,5,1729,75
