"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-03 21:00:00","Andalucía",7869,75.51,3896,364,426,463,495
"2020-04-03 21:00:00","Aragón",3078,201.17,1505,190,251,440,189
"2020-04-03 21:00:00","Asturias",1521,101.29,766,87,76,190,89
"2020-04-03 21:00:00","Baleares",1271,89.17,634,114,71,422,14
"2020-04-03 21:00:00","Canarias",1564,56.47,632,128,78,123,74
"2020-04-03 21:00:00","Cantabria",1384,201.18,619,60,68,99,63
"2020-04-03 21:00:00","Castilla La Mancha",9324,388.66,3133,360,989,657,801
"2020-04-03 21:00:00","Castilla y León",8332,286.14,2663,348,786,2021,457
"2020-04-03 21:00:00","Cataluña",24734,267.5,17678,2108,2508,8635,1274
"2020-04-03 21:00:00","Ceuta",73,80.21,8,4,1,2,11
"2020-04-03 21:00:00","Comunidad Valenciana",6901,110.68,1976,386,571,695,277
"2020-04-03 21:00:00","Extremadura",1979,152.19,453,64,208,205,86
"2020-04-03 21:00:00","Galicia",5625,181.0,1767,178,159,531,406
"2020-04-03 21:00:00","Madrid",36249,410.12,14741,1498,4723,15362,2061
"2020-04-03 21:00:00","Melilla",79,62.44,37,3,2,9,9
"2020-04-03 21:00:00","Murcia",1188,63.46,434,79,51,113,43
"2020-04-03 21:00:00","Navarra",2972,352.79,1341,120,171,311,136
"2020-04-03 21:00:00","País Vasco",8187,292.69,4522,377,477,3098,360
"2020-04-03 21:00:00","La Rioja",2405,581.13,805,64,128,843,181
