"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-05-02 21:00:00","Andalucía",5961,0,736,1,1256,3,6897,76
"2020-05-02 21:00:00","Aragón",2519,16,260,0,761,0,2558,84
"2020-05-02 21:00:00","Asturias",1995,21,142,1,280,1,908,18
"2020-05-02 21:00:00","Baleares",1099,5,167,0,197,0,1284,16
"2020-05-02 21:00:00","Canarias",919,1,176,0,140,0,1150,1
"2020-05-02 21:00:00","Cantabria",1010,1,79,0,195,2,1615,65
"2020-05-02 21:00:00","Castilla La Mancha",8676,31,604,3,2565,31,5772,70
"2020-05-02 21:00:00","Castilla y León",8085,31,533,2,1800,12,6856,43
"2020-05-02 21:00:00","Cataluña",27256,208,2844,33,5185,48,20332,419
"2020-05-02 21:00:00","Ceuta",10,0,4,0,4,0,141,1
"2020-05-02 21:00:00","Comunidad Valenciana",5181,28,698,3,1264,6,7447,160
"2020-05-02 21:00:00","Extremadura",1603,11,108,0,460,2,2072,55
"2020-05-02 21:00:00","Galicia",2773,5,315,2,563,6,6075,94
"2020-05-02 21:00:00","Madrid",40597,140,3421,17,8332,40,37704,174
"2020-05-02 21:00:00","Melilla",44,0,3,0,2,0,98,2
"2020-05-02 21:00:00","Murcia",641,2,110,0,134,2,1260,9
"2020-05-02 21:00:00","Navarra",1986,7,133,1,462,2,2411,130
"2020-05-02 21:00:00","País Vasco",6692,33,553,2,1329,8,12024,219
"2020-05-02 21:00:00","La Rioja",1446,7,88,0,335,1,2296,18
