"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-03-29","Andalucía",4682,50.45,2294,201,207,148,405
"2020-03-29","Aragón",1858,129.69,835,124,93,8,266
"2020-03-29","Asturias",1088,92.98,466,57,41,76,84
"2020-03-29","Baleares",958,79.69,345,71,29,82,96
"2020-03-29","Canarias",1125,47.18,425,78,39,30,100
"2020-03-29","Cantabria",1023,167.28,449,40,26,25,86
"2020-03-29","Castilla La Mancha",5246,238.33,3018,299,539,236,734
"2020-03-29","Castilla y León",5414,213.46,2408,278,380,752,623
"2020-03-29","Cataluña",15026,186.46,10687,1391,1226,3455,763
"2020-03-29","Ceuta",21,23.59,2,2,1,0,4
"2020-03-29","Comunidad Valenciana",4784,87.43,1874,309,267,161,750
"2020-03-29","Extremadura",1456,127.47,313,41,100,51,62
"2020-03-29","Galicia",3139,109.06,1043,123,60,153,367
"2020-03-29","Madrid",22677,287.14,14454,1429,3082,7491,1157
"2020-03-29","Melilla",48,46.25,24,2,1,0,3
"2020-03-29","Murcia",872,53.62,260,58,20,16,70
"2020-03-29","Navarra",2011,279.42,896,90,84,125,182
"2020-03-29","País Vasco",5740,231.45,3106,271,265,1503,604
"2020-03-29","La Rioja",1629,419.51,497,43,68,397,193
