"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-19 21:00:00","Andalucía",1287,15.05,38,30
"2020-03-19 21:00:00","Aragón",360,26.83,28,17
"2020-03-19 21:00:00","Asturias",344,33.14,7,2
"2020-03-19 21:00:00","Baleares",203,17.14,10,2
"2020-03-19 21:00:00","Canarias",287,12.82,25,4
"2020-03-19 21:00:00","Cantabria",144,23.06,7,1
"2020-03-19 21:00:00","Castilla La Mancha",1044,50.62,37,62
"2020-03-19 21:00:00","Castilla y León",1147,47.22,69,43
"2020-03-19 21:00:00","Cataluña",3270,42.29,33,82
"2020-03-19 21:00:00","Ceuta",5,5.9,0,0
"2020-03-19 21:00:00","Comunidad Valenciana",1105,21.48,71,33
"2020-03-19 21:00:00","Extremadura",297,27.25,4,10
"2020-03-19 21:00:00","Galicia",578,21.3,19,5
"2020-03-19 21:00:00","Madrid",7165,105.47,678,628
"2020-03-19 21:00:00","Melilla",24,27.75,1,0
"2020-03-19 21:00:00","Murcia",204,13.66,11,0
"2020-03-19 21:00:00","Navarra",554,84.22,19,5
"2020-03-19 21:00:00","País Vasco",1465,64.32,53,71
"2020-03-19 21:00:00","La Rioja",497,147.73,15,7
