"Date","Region","Total confirmed cases","Population Incidence Ratio","Hospital Cases","ICU cases","Total deaths","New cases"
"2020-03-21","Andalucía",1515,17.68,605.0,53,40,228.0
"2020-03-21","Aragón",424,31.3,192.0,33,22,64.0
"2020-03-21","Asturias",486,47.03,133.0,12,5,142.0
"2020-03-21","Baleares",246,20.88,60.0,14,4,43.0
"2020-03-21","Canarias",348,15.65,139.0,29,7,61.0
"2020-03-21","Cantabria",215,35.28,92.0,9,2,71.0
"2020-03-21","Castilla La Mancha",1423,69.26,635.0,65,84,379.0
"2020-03-21","Castilla y León",1466,60.51,575.0,85,55,319.0
"2020-03-21","Cataluña",4203,54.45,1.681,298,122,933.0
"2020-03-21","Ceuta",5,5.9,0.0,0,0,0.0
"2020-03-21","Comunidad Valenciana",1363,26.64,476.0,84,50,258.0
"2020-03-21","Extremadura",354,32.59,65.0,6,12,57.0
"2020-03-21","Galicia",739,27.26,168.0,29,9,161.0
"2020-03-21","Madrid",8921,131.82,7.388,767,804,1.756
"2020-03-21","Melilla",25,28.91,8.0,1,0,1.0
"2020-03-21","Murcia",240,16.07,61.0,14,1,36.0
"2020-03-21","Navarra",664,101.04,222.0,25,9,110.0
"2020-03-21","País Vasco",1725,76.09,654.0,71,85,260.0
"2020-03-21","La Rioja",564,165.72,128.0,17,15,67.0
