"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-18 21:00:00","Andalucía",1008,11.84,25,23
"2020-03-18 21:00:00","Aragón",281,21.22,14,15
"2020-03-18 21:00:00","Asturias",292,28.06,6,1
"2020-03-18 21:00:00","Baleares",169,14.18,7,2
"2020-03-18 21:00:00","Canarias",220,9.84,23,3
"2020-03-18 21:00:00","Cantabria",83,12.56,4,1
"2020-03-18 21:00:00","Castilla La Mancha",801,38.76,37,42
"2020-03-18 21:00:00","Castilla y León",868,35.72,54,29
"2020-03-18 21:00:00","Cataluña",2702,34.89,33,55
"2020-03-18 21:00:00","Ceuta",1,1.18,0,0
"2020-03-18 21:00:00","Comunidad Valenciana",921,18.03,52,24
"2020-03-18 21:00:00","Extremadura",241,22.01,3,8
"2020-03-18 21:00:00","Galicia",453,16.74,15,4
"2020-03-18 21:00:00","Madrid",6777,100.35,590,498
"2020-03-18 21:00:00","Melilla",23,26.59,0,0
"2020-03-18 21:00:00","Murcia",167,11.18,6,0
"2020-03-18 21:00:00","Navarra",482,73.22,11,4
"2020-03-18 21:00:00","País Vasco",1190,53.13,44,53
"2020-03-18 21:00:00","La Rioja",468,144.26,15,5
