"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-01 21:00:00","Andalucía",6972,70.88,3444,280,343,228,580
"2020-04-01 21:00:00","Aragón",2700,183.36,1320,178,200,320,209
"2020-04-01 21:00:00","Asturias",1384,106.77,640,79,69,135,62
"2020-04-01 21:00:00","Baleares",1204,90.04,517,105,58,239,73
"2020-04-01 21:00:00","Canarias",1444,56.84,566,113,68,94,64
"2020-04-01 21:00:00","Cantabria",1268,203.93,567,57,60,60,55
"2020-04-01 21:00:00","Castilla La Mancha",7682,338.49,3230,355,854,494,635
"2020-04-01 21:00:00","Castilla y León",7355,270.34,2708,353,641,1498,508
"2020-04-01 21:00:00","Cataluña",21804,248.88,15489,1855,2093,6917,1813
"2020-04-01 21:00:00","Ceuta",55,63.7,7,3,1,0,4
"2020-04-01 21:00:00","Comunidad Valenciana",6308,107.66,2189,379,443,432,386
"2020-04-01 21:00:00","Extremadura",1837,149.48,412,62,181,139,158
"2020-04-01 21:00:00","Galicia",4842,162.59,1446,165,120,333,410
"2020-04-01 21:00:00","Madrid",32155,380.86,15227,1528,4175,12400,2315
"2020-04-01 21:00:00","Melilla",62,45.09,32,3,1,0,0
"2020-04-01 21:00:00","Murcia",1084,61.38,389,68,42,45,43
"2020-04-01 21:00:00","Navarra",2682,336.28,1181,108,141,278,185
"2020-04-01 21:00:00","País Vasco",7317,277.52,4086,344,412,2490,479
"2020-04-01 21:00:00","La Rioja",2083,509.79,660,57,101,641,123
