"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio",7,8,9
"2020-04-18 21:00:00","Andalucía",11205,185,10936,269,34.51,0.0,220.0,11.425
"2020-04-18 21:00:00","Aragón",4831,70,4608,223,121.2,0.0,0.0,4.831
"2020-04-18 21:00:00","Asturias",2298,26,2171,126,67.76,0.0,0.0,2.298
"2020-04-18 21:00:00","Baleares",1773,25,1740,33,41.76,0.0,0.0,1.7730000000000001
"2020-04-18 21:00:00","Canarias",2046,12,2046,19740,0.0,0.0,2.0469999999999997,0.0
"2020-04-18 21:00:00","Cantabria",2050,60,1949,101,104.81,0.0,0.0,2.05
"2020-04-18 21:00:00","Castilla La Mancha",16625,276,14588,2037,324.37,0.0,0.0,16.625
"2020-04-18 21:00:00","Castilla y León",15620,328,14644,977,286.39,0.0,0.0,15.620999999999999
"2020-04-18 21:00:00","Cataluña",40600,657,40448,152,189.81,0.0,0.0,40.6
"2020-04-18 21:00:00","Ceuta",109,1,101,8,30.67,0.0,4.0,113.0
"2020-04-18 21:00:00","Comunidad Valenciana",9937,142,9657,280,55.02,0.0,313.0,10.25
"2020-04-18 21:00:00","Extremadura",3136,55,2673,463,101.99,0.0,56.0,3.1919999999999997
"2020-04-18 21:00:00","Galicia",8185,101,8185,83020,0.0,0.0,8.185,0.0
"2020-04-18 21:00:00","Madrid",54883,1938,53670,1214,259.63,0.0,1.261,56.145
"2020-04-18 21:00:00","Melilla",104,0,104,24280,0.0,3.0,107.0,0.0
"2020-04-18 21:00:00","Murcia",1644,6,1438,206,27.38,0.0,9.0,1.653
"2020-04-18 21:00:00","Navarra",4621,65,4413,208,236.62,0.0,35.0,4.656000000000001
"2020-04-18 21:00:00","País Vasco",12569,214,11570,999,178.51,0.0,0.0,12.569
"2020-04-18 21:00:00","La Rioja",3705,57,3636,69,351.33,0.0,625.0,4.33
