"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-10 21:00:00","Andalucía",9712,64.59,4808,602,737,1630,202
"2020-04-10 21:00:00","Aragón",3969,180.17,1860,266,425,888,138
"2020-04-10 21:00:00","Asturias",1827,80.47,1147,105,128,414,28
"2020-04-10 21:00:00","Baleares",1507,56.11,778,137,102,757,19
"2020-04-10 21:00:00","Canarias",1886,40.03,745,144,95,432,29
"2020-04-10 21:00:00","Cantabria",1719,134.58,773,75,107,281,60
"2020-04-10 21:00:00","Castilla La Mancha",13456,439.97,2198,316,1483,2205,393
"2020-04-10 21:00:00","Castilla y León",11543,281.39,5817,327,1180,3756,441
"2020-04-10 21:00:00","Cataluña",32984,243.91,21921,2628,3331,14258,1160
"2020-04-10 21:00:00","Ceuta",93,89.65,9,4,4,17,2
"2020-04-10 21:00:00","Comunidad Valenciana",8578,90.81,4132,565,818,2289,247
"2020-04-10 21:00:00","Extremadura",2485,102.27,1052,104,303,462,154
"2020-04-10 21:00:00","Galicia",7176,163.14,2215,144,261,1082,230
"2020-04-10 21:00:00","Madrid",45849,365.11,11894,1376,6084,23663,1065
"2020-04-10 21:00:00","Melilla",98,61.28,43,3,2,18,3
"2020-04-10 21:00:00","Murcia",1413,40.9,533,88,94,275,30
"2020-04-10 21:00:00","Navarra",3816,303.88,1641,124,227,603,69
"2020-04-10 21:00:00","País Vasco",10515,243.64,5402,453,765,4741,412
"2020-04-10 21:00:00","La Rioja",3223,564.08,1082,73,207,1337,147
