"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-16 21:00:00","Andalucía",12450,30,0.24,3.7
"2020-05-16 21:00:00","Aragón",5478,22,0.4,23.8
"2020-05-16 21:00:00","Asturias",2366,0,0.0,5.28
"2020-05-16 21:00:00","Baleares",1990,9,0.45,7.39
"2020-05-16 21:00:00","Canarias",2289,5,0.22,3.16
"2020-05-16 21:00:00","Cantabria",2268,3,0.13,10.84
"2020-05-16 21:00:00","Castilla La Mancha",16618,31,0.19,29.56
"2020-05-16 21:00:00","Castilla y León",18470,101,0.55,49.47
"2020-05-16 21:00:00","Cataluña",55824,116,0.21,37.16
"2020-05-16 21:00:00","Ceuta",116,0,0.0,17.69
"2020-05-16 21:00:00","Comunidad Valenciana",10892,43,0.4,9.13
"2020-05-16 21:00:00","Extremadura",2947,3,0.1,9.65
"2020-05-16 21:00:00","Galicia",9051,10,0.11,7.93
"2020-05-16 21:00:00","Madrid",66338,6,0.01,38.18
"2020-05-16 21:00:00","Melilla",121,2,1.68,4.62
"2020-05-16 21:00:00","Murcia",1551,9,0.58,3.95
"2020-05-16 21:00:00","Navarra",5148,11,0.21,37.6
"2020-05-16 21:00:00","País Vasco",13407,16,0.12,16.71
"2020-05-16 21:00:00","La Rioja",4024,4,0.1,22.73
