"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-11 21:00:00","Andalucía",10006,63.27,4950,619,799,1838,294
"2020-04-11 21:00:00","Aragón",4070,167.67,1901,272,450,934,101
"2020-04-11 21:00:00","Asturias",1892,78.61,1208,106,140,430,65
"2020-04-11 21:00:00","Baleares",1534,50.11,805,142,112,848,27
"2020-04-11 21:00:00","Canarias",1918,36.83,758,144,95,447,31
"2020-04-11 21:00:00","Cantabria",1751,125.46,805,75,110,297,33
"2020-04-11 21:00:00","Castilla La Mancha",13698,415.77,6837,316,1543,2365,242
"2020-04-11 21:00:00","Castilla y León",12118,279.39,5957,323,1220,4010,575
"2020-04-11 21:00:00","Cataluña",34027,247.56,22369,2658,3441,14975,1043
"2020-04-11 21:00:00","Ceuta",93,84.93,9,4,4,17,0
"2020-04-11 21:00:00","Comunidad Valenciana",8841,81.08,4149,567,838,2623,263
"2020-04-11 21:00:00","Extremadura",2580,105.27,1074,106,312,481,94
"2020-04-11 21:00:00","Galicia",7336,155.47,2306,140,274,1143,160
"2020-04-11 21:00:00","Madrid",46586,358.83,11424,1331,6278,24683,738
"2020-04-11 21:00:00","Melilla",98,57.81,43,3,2,18,0
"2020-04-11 21:00:00","Murcia",1449,38.62,537,91,97,344,36
"2020-04-11 21:00:00","Navarra",3969,299.29,1663,124,232,650,152
"2020-04-11 21:00:00","País Vasco",10772,227.92,5547,459,804,4867,257
"2020-04-11 21:00:00","La Rioja",3279,520.84,1122,73,219,1420,56
