"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-22 21:00:00","Andalucía",5616,51,702,6,1079,29,3847,278
"2020-04-22 21:00:00","Aragón",2340,36,253,1,681,25,1680,150
"2020-04-22 21:00:00","Asturias",1705,40,130,2,223,12,665,23
"2020-04-22 21:00:00","Baleares",1022,17,167,1,168,4,1047,30
"2020-04-22 21:00:00","Canarias",855,14,169,5,121,0,969,42
"2020-04-22 21:00:00","Cantabria",965,9,78,0,173,6,850,132
"2020-04-22 21:00:00","Castilla La Mancha",8304,61,546,9,2188,48,4577,240
"2020-04-22 21:00:00","Castilla y León",7397,133,508,3,1581,28,5777,163
"2020-04-22 21:00:00","Cataluña",23647,352,2478,18,4343,96,15477,388
"2020-04-22 21:00:00","Ceuta",9,0,4,0,4,0,76,0
"2020-04-22 21:00:00","Comunidad Valenciana",4917,21,650,1,1124,18,5388,377
"2020-04-22 21:00:00","Extremadura",1375,26,113,1,407,3,1237,186
"2020-04-22 21:00:00","Galicia",2694,20,92,0,375,7,1676,51
"2020-04-22 21:00:00","Madrid",7077,0,981,0,7684,107,33645,613
"2020-04-22 21:00:00","Melilla",44,0,3,0,2,0,55,5
"2020-04-22 21:00:00","Murcia",624,2,104,0,124,1,766,5
"2020-04-22 21:00:00","Navarra",1906,13,129,1,409,8,1445,129
"2020-04-22 21:00:00","País Vasco",6260,59,516,3,1167,43,8136,485
"2020-04-22 21:00:00","La Rioja",1331,13,82,1,303,5,1936,38
