"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-03-26","Andalucía",3406,38.96,1626,134,134,77,396
"2020-03-26","Aragón",1115,79.43,562,93,48,4,209
"2020-03-26","Asturias",841,77.84,300,34,27,40,62
"2020-03-26","Baleares",660,53.23,205,43,17,39,98
"2020-03-26","Canarias",784,33.01,279,45,24,18,127
"2020-03-26","Cantabria",671,112.55,300,26,17,14,161
"2020-03-26","Castilla La Mancha",3383,160.32,2162,243,316,95,603
"2020-03-26","Castilla y León",3488,141.33,1515,202,206,308,548
"2020-03-26","Cataluña",11592,148.92,7439,1020,672,1696,1655
"2020-03-26","Ceuta",10,11.84,2,2,0,0,1
"2020-03-26","Comunidad Valenciana",3200,62.5,1278,230,167,57,584
"2020-03-26","Extremadura",969,89.39,241,34,58,24,227
"2020-03-26","Galicia",1915,69.66,503,86,32,47,262
"2020-03-26","Madrid",17166,236.0,12440,1220,2090,3881,2569
"2020-03-26","Melilla",39,46.27,16,2,1,0,1
"2020-03-26","Murcia",596,38.14,172,36,8,9,119
"2020-03-26","Navarra",1411,205.05,649,54,49,35,214
"2020-03-26","País Vasco",3946,164.99,1906,137,180,621,675
"2020-03-26","La Rioja",995,251.2,316,36,43,48,67
