"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-14 21:00:00","Andalucía",10595,49.95,5147,665,865,2224,289
"2020-04-14 21:00:00","Aragón",4338,140.0,2005,282,514,1012,93
"2020-04-14 21:00:00","Asturias",2096,75.67,1386,114,166,487,45
"2020-04-14 21:00:00","Baleares",1606,41.32,857,149,125,881,35
"2020-04-14 21:00:00","Canarias",1975,27.63,781,152,104,622,17
"2020-04-14 21:00:00","Cantabria",1823,104.98,873,76,132,363,27
"2020-04-14 21:00:00","Castilla La Mancha",14680,375.48,7896,495,1755,2998,351
"2020-04-14 21:00:00","Castilla y León",13697,285.47,6306,306,1337,4521,517
"2020-04-14 21:00:00","Cataluña",36505,215.16,23372,2788,3756,16651,1308
"2020-04-14 21:00:00","Ceuta",98,55.44,9,4,4,30,2
"2020-04-14 21:00:00","Comunidad Valenciana",9424,69.99,4465,588,945,3360,211
"2020-04-14 21:00:00","Extremadura",2762,101.43,1155,109,342,615,78
"2020-04-14 21:00:00","Galicia",7708,121.36,2471,128,299,1298,111
"2020-04-14 21:00:00","Madrid",49526,295.44,10116,1244,6724,27433,1478
"2020-04-14 21:00:00","Melilla",102,46.25,43,3,2,24,1
"2020-04-14 21:00:00","Murcia",1520,32.06,574,97,109,513,33
"2020-04-14 21:00:00","Navarra",4246,267.34,1730,124,252,808,96
"2020-04-14 21:00:00","País Vasco",11475,210.03,5750,471,902,5428,249
"2020-04-14 21:00:00","La Rioja",3457,472.54,1182,75,246,1585,37
