"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-29 21:00:00","Andalucía",5874,42,721,0,1207,19,5710,438
"2020-04-29 21:00:00","Aragón",2477,23,258,0,739,3,2291,102
"2020-04-29 21:00:00","Asturias",1915,29,137,0,273,7,835,26
"2020-04-29 21:00:00","Baleares",1082,3,167,1,188,3,1219,23
"2020-04-29 21:00:00","Canarias",909,3,176,0,135,1,1131,24
"2020-04-29 21:00:00","Cantabria",1007,1,79,0,191,0,1483,111
"2020-04-29 21:00:00","Castilla La Mancha",8567,44,592,4,2463,27,5512,130
"2020-04-29 21:00:00","Castilla y León",7957,103,528,4,1751,16,6569,121
"2020-04-29 21:00:00","Cataluña",26763,217,2784,16,4975,70,19615,555
"2020-04-29 21:00:00","Ceuta",10,0,4,0,4,0,126,12
"2020-04-29 21:00:00","Comunidad Valenciana",5096,24,663,1,1236,18,6886,287
"2020-04-29 21:00:00","Extremadura",1550,24,108,1,446,6,1886,90
"2020-04-29 21:00:00","Galicia",2747,11,310,2,547,0,5572,180
"2020-04-29 21:00:00","Madrid",40076,226,3377,22,8176,71,36707,393
"2020-04-29 21:00:00","Melilla",44,0,3,0,2,0,96,1
"2020-04-29 21:00:00","Murcia",637,2,108,2,130,0,1202,49
"2020-04-29 21:00:00","Navarra",1965,14,132,2,451,3,2113,31
"2020-04-29 21:00:00","País Vasco",6561,39,541,1,1296,22,10936,462
"2020-04-29 21:00:00","La Rioja",1424,11,88,1,332,2,2159,68
