"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-09 21:00:00","Andalucía",6080,11,745,0,1320,3
"2020-05-09 21:00:00","Aragón",2588,5,263,0,824,1
"2020-05-09 21:00:00","Asturias",2185,19,147,2,295,2
"2020-05-09 21:00:00","Baleares",1141,0,169,0,209,2
"2020-05-09 21:00:00","Canarias",935,0,178,0,148,0
"2020-05-09 21:00:00","Cantabria",1028,5,79,0,201,0
"2020-05-09 21:00:00","Castilla La Mancha",8895,28,623,2,2759,21
"2020-05-09 21:00:00","Castilla y León",8468,74,546,0,1896,12
"2020-05-09 21:00:00","Cataluña",28784,97,2991,8,5532,25
"2020-05-09 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-09 21:00:00","Comunidad Valenciana",5354,37,716,7,1323,8
"2020-05-09 21:00:00","Extremadura",1710,16,109,0,480,3
"2020-05-09 21:00:00","Galicia",2886,10,325,2,592,1
"2020-05-09 21:00:00","Madrid",41559,123,3520,12,8644,46
"2020-05-09 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-09 21:00:00","Murcia",662,0,113,0,139,1
"2020-05-09 21:00:00","Navarra",2023,2,135,0,488,1
"2020-05-09 21:00:00","País Vasco",6902,37,571,3,1418,15
"2020-05-09 21:00:00","La Rioja",1474,1,91,0,346,2
