"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-06 21:00:00","Andalucía",8767,74.83,4335,499,528,900,186
"2020-04-06 21:00:00","Aragón",3449,203.97,1663,247,312,578,102
"2020-04-06 21:00:00","Asturias",1679,99.43,889,91,96,244,33
"2020-04-06 21:00:00","Baleares",1369,77.51,705,124,84,537,49
"2020-04-06 21:00:00","Canarias",1725,54.24,689,137,89,186,76
"2020-04-06 21:00:00","Cantabria",1501,185.17,677,66,85,129,18
"2020-04-06 21:00:00","Castilla La Mancha",11077,423.64,2908,360,1177,1353,475
"2020-04-06 21:00:00","Castilla y León",9581,296.76,5180,346,982,2711,465
"2020-04-06 21:00:00","Cataluña",28323,266.56,19745,2391,2908,10738,1499
"2020-04-06 21:00:00","Ceuta",83,90.83,9,4,4,2,0
"2020-04-06 21:00:00","Comunidad Valenciana",7443,105.44,1886,384,672,1103,109
"2020-04-06 21:00:00","Extremadura",2116,138.61,686,70,258,282,48
"2020-04-06 21:00:00","Galicia",6331,182.11,1968,162,204,688,180
"2020-04-06 21:00:00","Madrid",40469,421.96,13950,1494,5371,18410,1746
"2020-04-06 21:00:00","Melilla",92,74.0,40,3,2,11,6
"2020-04-06 21:00:00","Murcia",1283,60.11,500,84,78,193,24
"2020-04-06 21:00:00","Navarra",3355,357.83,1488,124,202,421,124
"2020-04-06 21:00:00","País Vasco",9021,285.04,4856,417,586,3728,211
"2020-04-06 21:00:00","La Rioja",2846,645.21,918,66,160,994,127
