"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-14 21:00:00","Andalucía",6146,18,754,3,1344,8
"2020-05-14 21:00:00","Aragón",2637,12,266,1,837,1
"2020-05-14 21:00:00","Asturias",2268,16,152,1,310,2
"2020-05-14 21:00:00","Baleares",1136,5,171,0,216,0
"2020-05-14 21:00:00","Canarias",938,1,178,0,151,0
"2020-05-14 21:00:00","Cantabria",1031,1,79,0,206,1
"2020-05-14 21:00:00","Castilla La Mancha",9001,21,635,1,2870,18
"2020-05-14 21:00:00","Castilla y León",8595,35,548,0,1930,5
"2020-05-14 21:00:00","Cataluña",29381,77,3050,2,5882,59
"2020-05-14 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-14 21:00:00","Comunidad Valenciana",5415,26,721,4,1358,9
"2020-05-14 21:00:00","Extremadura",1771,11,109,0,494,2
"2020-05-14 21:00:00","Galicia",2921,6,332,5,601,0
"2020-05-14 21:00:00","Madrid",42056,95,3574,10,8809,30
"2020-05-14 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-14 21:00:00","Murcia",675,3,112,0,143,1
"2020-05-14 21:00:00","Navarra",2045,0,136,1,500,2
"2020-05-14 21:00:00","País Vasco",7008,15,578,1,1454,0
"2020-05-14 21:00:00","La Rioja",1488,4,91,0,348,0
