"Date","Region","Total confirmed cases","New cases","Total Tests","Total Fast Tests","Population Incidence Ratio",7,8,9
"2020-04-20 21:00:00","Andalucía",11447,124,11139,308,31.85,242.0,11.689,0
"2020-04-20 21:00:00","Aragón",4938,52,4684,254,112.86,0.0,4.938,"Los datos de las CCAA están en continua"
"2020-04-20 21:00:00","Asturias",2365,17,2191,173,67.07,0.0,2.365,"revisión y ciertas oscilaciones"
"2020-04-20 21:00:00","Baleares",1808,20,1767,41,38.19,0.0,1.808,"pueden deberse a procesos"
"2020-04-20 21:00:00","Canarias",2085,18,2085,0,16.72,0.0,2.085,0
"2020-04-20 21:00:00","Cantabria",2123,40,1998,125,107.04,0.0,2.123,0
"2020-04-20 21:00:00","Castilla La Mancha",17045,249,14936,2109,293.58,0.0,17.045,0
"2020-04-20 21:00:00","Castilla y León",16259,402,14950,1308,278.3,0.0,16.259,"anticuerpos positivos  sin síntomas en el"
"2020-04-20 21:00:00","Cataluña",43111,1436,43111,0,192.69,0.0,43.111999999999995,"momento de realización de la prueba en"
"2020-04-20 21:00:00","Ceuta",111,0,101,10,33.03,4.0,115.0,"los que no se puede establecer un"
"2020-04-20 21:00:00","Comunidad Valenciana",10084,66,9750,334,52.78,315.0,10.399000000000001,"momento de contagio ni si han padecido"
"2020-04-20 21:00:00","Extremadura",3196,10,2691,478,101.15,73.0,3.2689999999999997,"o no la enfermedad. Para el cálculo de"
"2020-04-20 21:00:00","Galicia",8468,169,8468,0,79.16,0.0,8.468,"nuevos casos de COVID-19 se han"
"2020-04-20 21:00:00","Madrid",57997,1034,55325,2671,263.05,0.0,57.997,"corregido los datos de días previos"
"2020-04-20 21:00:00","Melilla",105,1,105,0,15.03,5.0,110.0,0
"2020-04-20 21:00:00","Murcia",1681,35,1445,236,26.64,15.0,1.696,0
"2020-04-20 21:00:00","Navarra",4781,84,4475,306,217.97,50.0,4.831,0
"2020-04-20 21:00:00","País Vasco",12810,182,11607,1203,171.62,0.0,12.81,0
"2020-04-20 21:00:00","La Rioja",3763,29,3683,79,289.46,720.0,4.4830000000000005,0
