"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-30 21:00:00","Andalucía",5936,62,729,8,1238,31,6334,624
"2020-04-30 21:00:00","Aragón",2494,17,260,2,749,10,2381,91
"2020-04-30 21:00:00","Asturias",1938,23,140,3,273,0,860,25
"2020-04-30 21:00:00","Baleares",1090,8,167,0,193,5,1245,26
"2020-04-30 21:00:00","Canarias",914,5,176,0,136,1,1151,20
"2020-04-30 21:00:00","Cantabria",1009,2,79,0,192,1,1509,26
"2020-04-30 21:00:00","Castilla La Mancha",8618,51,596,4,2498,35,5615,103
"2020-04-30 21:00:00","Castilla y León",8010,53,531,3,1770,18,6686,117
"2020-04-30 21:00:00","Cataluña",26932,169,2795,11,5061,86,19640,25
"2020-04-30 21:00:00","Ceuta",10,0,4,0,4,0,138,12
"2020-04-30 21:00:00","Comunidad Valenciana",5126,30,694,31,1245,9,7077,192
"2020-04-30 21:00:00","Extremadura",1565,15,108,0,451,5,1960,73
"2020-04-30 21:00:00","Galicia",2759,12,313,3,555,8,5816,243
"2020-04-30 21:00:00","Madrid",40293,217,3392,15,8222,46,37154,447
"2020-04-30 21:00:00","Melilla",44,0,3,0,2,0,96,0
"2020-04-30 21:00:00","Murcia",638,1,109,1,132,2,1229,27
"2020-04-30 21:00:00","Navarra",1976,12,132,0,458,7,2185,72
"2020-04-30 21:00:00","País Vasco",6607,46,544,3,1311,16,11380,444
"2020-04-30 21:00:00","La Rioja",1433,9,88,0,333,1,2220,61
