"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-05-03 21:00:00","Andalucía",5973,12,738,2,1263,7,7021,124
"2020-05-03 21:00:00","Aragón",2526,7,260,0,762,1,2623,66
"2020-05-03 21:00:00","Asturias",2014,19,142,0,284,4,917,9
"2020-05-03 21:00:00","Baleares",1102,3,167,0,197,0,1294,10
"2020-05-03 21:00:00","Canarias",919,0,175,0,141,1,1166,16
"2020-05-03 21:00:00","Cantabria",1010,1,79,0,197,2,1610,0
"2020-05-03 21:00:00","Castilla La Mancha",8698,22,606,2,2590,25,5794,22
"2020-05-03 21:00:00","Castilla y León",8122,38,534,1,1818,18,6900,44
"2020-05-03 21:00:00","Cataluña",27320,64,2847,3,5220,35,21898,1565
"2020-05-03 21:00:00","Ceuta",10,0,4,0,4,0,142,1
"2020-05-03 21:00:00","Comunidad Valenciana",5204,23,700,2,1269,5,7506,59
"2020-05-03 21:00:00","Extremadura",1618,15,108,0,460,0,2090,18
"2020-05-03 21:00:00","Galicia",2782,8,315,0,569,6,6234,159
"2020-05-03 21:00:00","Madrid",40741,144,3431,10,8376,44,37808,104
"2020-05-03 21:00:00","Melilla",44,0,3,0,2,0,101,3
"2020-05-03 21:00:00","Murcia",645,4,110,0,134,0,1277,17
"2020-05-03 21:00:00","Navarra",1990,4,133,0,466,4,2494,83
"2020-05-03 21:00:00","País Vasco",6718,27,554,1,1341,12,12155,131
"2020-05-03 21:00:00","La Rioja",1449,3,88,0,335,0,2312,15
