"Date","Region","Total confirmed cases","Population Incidence Ratio","Total Hospital cases","Total ICU cases","Total deaths","Total cured","New cases"
"2020-04-04 21:00:00","Andalucía",8301,78.15,4107,474,470,665,432
"2020-04-04 21:00:00","Aragón",3231,204.66,1588,233,270,537,154
"2020-04-04 21:00:00","Asturias",1605,103.64,808,90,80,216,83
"2020-04-04 21:00:00","Baleares",1293,83.69,664,120,75,461,22
"2020-04-04 21:00:00","Canarias",1622,56.1,644,129,80,137,58
"2020-04-04 21:00:00","Cantabria",1440,199.46,639,62,68,113,57
"2020-04-04 21:00:00","Castilla La Mancha",10031,403.96,2950,357,1055,1149,707
"2020-04-04 21:00:00","Castilla y León",8749,291.93,2574,351,847,2331,417
"2020-04-04 21:00:00","Cataluña",26031,277.88,18656,2249,2637,9527,1298
"2020-04-04 21:00:00","Ceuta",83,92.01,9,4,2,2,10
"2020-04-04 21:00:00","Comunidad Valenciana",7184,111.52,1901,381,613,812,283
"2020-04-04 21:00:00","Extremadura",2046,155.75,417,66,218,215,68
"2020-04-04 21:00:00","Galicia",5944,186.29,1831,170,174,587,319
"2020-04-04 21:00:00","Madrid",37584,418.44,14550,1499,4941,16543,1335
"2020-04-04 21:00:00","Melilla",83,67.06,38,3,2,11,4
"2020-04-04 21:00:00","Murcia",1235,62.86,447,80,59,130,47
"2020-04-04 21:00:00","Navarra",3073,348.36,1399,123,178,334,101
"2020-04-04 21:00:00","País Vasco",8628,295.82,4666,404,515,3405,441
"2020-04-04 21:00:00","La Rioja",2592,611.75,855,66,134,904,187
