"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-09 21:00:00","Andalucía",71,0.84,1,0
"2020-03-09 21:00:00","Aragón",38,2.88,3,3
"2020-03-09 21:00:00","Asturias",22,2.15,2,0
"2020-03-09 21:00:00","Baleares",13,1.13,1,0
"2020-03-09 21:00:00","Canarias",25,1.16,1,0
"2020-03-09 21:00:00","Cantabria",12,2.07,0,0
"2020-03-09 21:00:00","Castilla La Mancha",39,1.92,2,0
"2020-03-09 21:00:00","Castilla y León",56,2.33,2,0
"2020-03-09 21:00:00","Cataluña",124,1.62,0,3
"2020-03-09 21:00:00","Ceuta",0,0.0,0,0
"2020-03-09 21:00:00","Comunidad Valenciana",50,1.0,1,1
"2020-03-09 21:00:00","Extremadura",8,0.75,0,0
"2020-03-09 21:00:00","Galicia",22,0.81,2,0
"2020-03-09 21:00:00","Madrid",782,11.74,77,21
"2020-03-09 21:00:00","Melilla",0,0.0,0,0
"2020-03-09 21:00:00","Murcia",9,0.6,0,0
"2020-03-09 21:00:00","Navarra",12,1.83,2,0
"2020-03-09 21:00:00","País Vasco",195,8.83,5,6
"2020-03-09 21:00:00","La Rioja",144,45.45,1,1
