"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-27 21:00:00","Andalucía",11913,61,0.5,20.32
"2020-04-27 21:00:00","Aragón",5004,19,0.4,57.53
"2020-04-27 21:00:00","Asturias",2255,1,0.0,28.65
"2020-04-27 21:00:00","Baleares",1870,11,0.6,26.01
"2020-04-27 21:00:00","Canarias",2187,9,0.4,10.63
"2020-04-27 21:00:00","Cantabria",2115,11,0.5,72.28
"2020-04-27 21:00:00","Castilla La Mancha",15706,42,0.3,167.94
"2020-04-27 21:00:00","Castilla y León",16589,185,1.1,182.78
"2020-04-27 21:00:00","Cataluña",48158,403,0.8,168.87
"2020-04-27 21:00:00","Ceuta",100,0,0.0,14.15
"2020-04-27 21:00:00","Comunidad Valenciana",10204,24,0.2,24.46
"2020-04-27 21:00:00","Extremadura",2751,2,0.1,34.37
"2020-04-27 21:00:00","Galicia",9328,90,1.0,64.12
"2020-04-27 21:00:00","Madrid",59784,363,0.6,176.13
"2020-04-27 21:00:00","Melilla",114,4,3.6,15.03
"2020-04-27 21:00:00","Murcia",1475,1,0.1,10.91
"2020-04-27 21:00:00","Navarra",4758,26,0.5,93.09
"2020-04-27 21:00:00","País Vasco",12564,51,0.4,60.6
"2020-04-27 21:00:00","La Rioja",3897,5,0.1,150.57
