"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-05-04 21:00:00","Andalucía",12210,16,0.13,13.14
"2020-05-04 21:00:00","Aragón",5207,19,0.37,39.64
"2020-05-04 21:00:00","Asturias",2308,2,0.09,11.34
"2020-05-04 21:00:00","Baleares",1910,2,0.1,12.44
"2020-05-04 21:00:00","Canarias",2231,6,0.27,6.78
"2020-05-04 21:00:00","Cantabria",2207,1,0.05,35.97
"2020-05-04 21:00:00","Castilla La Mancha",16079,30,0.19,56.28
"2020-05-04 21:00:00","Castilla y León",17429,95,0.55,103.27
"2020-05-04 21:00:00","Cataluña",50771,405,0.8,99.79
"2020-05-04 21:00:00","Ceuta",101,0,0.0,9.44
"2020-05-04 21:00:00","Comunidad Valenciana",10500,64,0.61,14.99
"2020-05-04 21:00:00","Extremadura",2852,3,0.11,14.99
"2020-05-04 21:00:00","Galicia",9051,40,0.44,50.9
"2020-05-04 21:00:00","Madrid",62989,143,0.23,67.02
"2020-05-04 21:00:00","Melilla",119,0,0.0,16.19
"2020-05-04 21:00:00","Murcia",1496,4,0.27,3.41
"2020-05-04 21:00:00","Navarra",4936,18,0.37,70.47
"2020-05-04 21:00:00","País Vasco",12965,13,0.1,50.82
"2020-05-04 21:00:00","La Rioja",3967,6,0.15,89.33
