"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-12 21:00:00","Andalucía",6114,13,750,5,1331,6
"2020-05-12 21:00:00","Aragón",2614,8,265,1,829,1
"2020-05-12 21:00:00","Asturias",2239,27,151,1,307,3
"2020-05-12 21:00:00","Baleares",1132,5,172,2,215,5
"2020-05-12 21:00:00","Canarias",937,0,178,0,151,0
"2020-05-12 21:00:00","Cantabria",1029,2,79,0,205,2
"2020-05-12 21:00:00","Castilla La Mancha",8963,23,632,3,2835,24
"2020-05-12 21:00:00","Castilla y León",8517,24,547,0,1919,5
"2020-05-12 21:00:00","Cataluña",29267,129,3034,39,5692,71
"2020-05-12 21:00:00","Ceuta",11,0,4,0,4,0
"2020-05-12 21:00:00","Comunidad Valenciana",5370,10,717,0,1341,5
"2020-05-12 21:00:00","Extremadura",1754,17,109,0,489,2
"2020-05-12 21:00:00","Galicia",2905,0,327,1,597,2
"2020-05-12 21:00:00","Madrid",41856,121,3555,12,8760,40
"2020-05-12 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-12 21:00:00","Murcia",666,1,112,0,142,3
"2020-05-12 21:00:00","Navarra",2041,3,135,0,494,1
"2020-05-12 21:00:00","País Vasco",6955,26,575,1,1442,13
"2020-05-12 21:00:00","La Rioja",1480,3,91,0,348,1
